business_name,category,website,public_email,public_phone,address,city,state,postal_code,opportunity_signal,opportunity_score,source_confidence,source_id
Caribbean Coatings,roofing,http://www.CaribbeanCoatings.com/,info@caribbeancoatings.com,+18886797911,12461 Creekside Dr,Largo,FL,33773-2708,No basic public-site gap detected,0,0.92,50bcac57-23d0-4d66-8a8c-ee208738f7bb
CFL Roof Cleaning and Coating,roofing,https://www.cflroofcleaningandcoating.com/,mainoffice@cflroofcleaningandcoating.net,+17274965380,7118 Park St S,St Petersburg,FL,33707-2030,No basic public-site gap detected,0,0.92,a860a010-1650-493a-90cc-c8e4e92c78d3
Community Roofing of Florida,roofing,https://www.communityroof.com/,,7275369999,14042 66th St Unit C,Largo,FL,33771,No basic public-site gap detected,0,0.92,c5c2fcdc-2eec-47a8-afba-494910580634
Drew Roofing,roofing,http://www.drewroofing.com/,drew@drewroofing.com,+17275223739,600 49th St S,St Petersburg,FL,33707-2632,No basic public-site gap detected,0,0.659,4f27333c-325b-4fb0-9a00-5337cef78faa
DuraLast Roofing and Solar,roofing,https://duralastroofs.com/,,7275848400,12952 Walsingham Rd,Largo,FL,33774,No basic public-site gap detected,0,0.91,4ad879f6-98c0-4462-8062-2bd2d853bfee
Florida Southern Roofing St Petersburg,roofing,http://www.floridaroofing.com/home,,7273637727,2872 47th Ave N,Saint Petersburg,FL,33714,No basic public-site gap detected,0,0.92,757281da-cf86-4a38-8f7d-a1a2e10a24d5
Fortress Roofing Inc,roofing,http://fortressroofinginc.com/,,7272308848,2409 4th Ave N,Saint Petersburg,FL,33713,No basic public-site gap detected,0,0.92,553bc178-4366-4482-bdb6-15b6d9935cde
Gulfeagle Supply,roofing,https://www.gulfeaglesupply.com/,gstealey@gulfeaglesupply.com,+17275254044,3191 46th Ave N,St Petersburg,FL,33714-3817,No basic public-site gap detected,0,0.992,cf8093f2-580f-4dd4-b17d-4b30c4c29656
IBEX Roofing Inc,,https://ibexroofing.com/,,7274988437,4770 94th St N,Saint Petersburg,FL,33708,No basic public-site gap detected,0,0.92,33ca3b9b-ba16-4a3f-ad9e-78cc2a99c412
James Roofing Services,roofing,http://www.jamesroofinginc.com/,info@jamesroofinginc.com,+17272897171,7177 30th Ave N,St Petersburg,FL,33710-2913,No basic public-site gap detected,0,0.721,08794e0b-5983-4b91-adfe-2f844283a4b4
LaPorta Roofing,roofing,https://laportaroofing.com/,,7273710484,801 W Bay Dr Ste 209,Largo,FL,33770,No basic public-site gap detected,0,0.92,58789c50-905b-48b5-886f-0a2f7e8e6316
Mitchell Roofing Company,roofing,http://www.mitchellroofingcompanyllc.com/,mitchellroofingcompanyllc@gmail.com,+17272884650,111 2nd Ave NE,St Petersburg,FL,33701-3411,No basic public-site gap detected,0,0.92,1e137956-3cb5-4a1a-9032-d9ea8d0e690d
"Origin Solar, Roofing, and Generators",,http://solarroofgen.com/,,8136693738,3034 Burlington Ave N,St. Petersburg,FL,33713,No basic public-site gap detected,0,0.85,9baa6f2f-75c6-4169-b803-ef642bc850fc
Parrish and Sons Roofing Co Inc,,https://www.parrishandsonsroofing.com/,,7272633902,5136 Gulfport Blvd S,Gulf Port,FL,33707,No basic public-site gap detected,0,0.85,589d5f64-5eb6-4f52-98b4-1376574d9668
R J Owens Roofing Contractors,roofing,https://rjowensroofing.com/,,7275782641,3113 38th Ave N,St. Petersburg,FL,33713,No basic public-site gap detected,0,0.92,a2368dec-bd1c-4196-80e8-b92750d5634d
Reggie Reed Roofing,roofing,http://www.reggiereedroofing.com/,service@reggiereedroofing.com,+17274795704,3530 1st Ave N,St Petersburg,FL,33713-8422,No basic public-site gap detected,0,0.92,68eeeaec-0744-4238-a3a2-5a4c1438b751
Ridge Max Roofing,,http://www.ridgemaxroofers.com/,,8135784639,7551 Ulmerton Rd,Largo,FL,33771,No basic public-site gap detected,0,0.85,d3f7ed2a-7e2e-44af-acae-d9d7e62e03d8
RoofSource Inc.,,https://roofsourceinc.com/,,8133740516,14219 Walsingham Rd Ste 0,Largo,FL,33774,No basic public-site gap detected,0,0.92,0b32c3d8-4a4f-4774-b345-0ffaa851026b
Trust Roofing,roofing,https://trustroofing.com/,,8135602998,2322 Lake Ave SE,Largo,FL,33771,No basic public-site gap detected,0,0.85,c11caeea-f66e-40ba-ae2d-8eecf8c4c1a9
